Rapor;HTTP Kodu;Durum;URL
Bas Getir Detay Raporu;401;🔐 Kimlik Dogrulama Gerekli;https://raportal.kariyer.net/home/report/AZR%20Sorgu/Bas%20Getir%20Detay%20Raporu
Ikco-Gunluk Satis Raporu;401;🔐 Kimlik Dogrulama Gerekli;https://raportal.kariyer.net/home/report/Subscriptions/Ikco-Gunluk%20Satis%20Raporu
Firma Bost Detay;401;🔐 Kimlik Dogrulama Gerekli;https://raportal.kariyer.net/home/report/M%C3%BC%C5%9Fteri%20%C4%B0li%C5%9Fkileri/Firma%20Bost%20Detay
Ilan Sonuclari;401;🔐 Kimlik Dogrulama Gerekli;https://raportal.kariyer.net/home/report/M%C3%BC%C5%9Fteri%20%C4%B0li%C5%9Fkileri/Ilan%20Sonuclari
Satis Gelistirme - Cekilis;401;🔐 Kimlik Dogrulama Gerekli;https://raportal.kariyer.net/home/report/Subscriptions/Satis%20Gelistirme%20-%20Cekilis
Isin Olsun Il ve Pozisyon Bazlı Istatistikler;401;🔐 Kimlik Dogrulama Gerekli;https://raportal.kariyer.net/home/report/Pazarlama%20ve%20%C3%9Cr%C3%BCn%20Y%C3%B6netimi/%C4%B0%C5%9Fin%20Olsun/Isin%20Olsun%20Il%20ve%20Pozisyon%20Bazl%C4%B1%20Istatistikler
Sehir ve Pozisyon Bazli Maas Verileri;401;🔐 Kimlik Dogrulama Gerekli;https://raportal.kariyer.net/home/report/Pazarlama%20ve%20%C3%9Cr%C3%BCn%20Y%C3%B6netimi/%C4%B0%C5%9Fkolig/Sehir%20ve%20Pozisyon%20Bazli%20Maas%20Verileri
CV Goruntuleme ve Kaydetme Alarm Raporu;401;🔐 Kimlik Dogrulama Gerekli;https://raportal.kariyer.net/home/report/Pazarlama%20ve%20%C3%9Cr%C3%BCn%20Y%C3%B6netimi/%C4%B0%C5%9Fveren/CV%20Goruntuleme%20ve%20Kaydetme%20Alarm%20Raporu
Mahkeme Tebligat Ilan Raporu;401;🔐 Kimlik Dogrulama Gerekli;https://raportal.kariyer.net/home/report/M%C3%BC%C5%9Fteri%20%C4%B0li%C5%9Fkileri/Mahkeme%20Tebligat%20Ilan%20Raporu
WeHire Referans Listesi;401;🔐 Kimlik Dogrulama Gerekli;https://raportal.kariyer.net/home/report/Sat%C4%B1%C5%9F/WeHire%20Referans%20Listesi
